stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,0,20.65,0,0,0,0,0,0
12hpf,1.93,17.35,1.93,0,1.93,0,0,0,3.86
14hpf,0,0,26.75,0,0,0,0,0,0
16hpf,0,6.15,0,0,0,0,0,0,0
19hpf,0,0,6.57,0,0,0,0,0,0
24hpf,5,4,152,0,0,0,0,6,3
2dpf,10.84,0.83,183.5,0.83,4.17,9.17,1.67,0,10.01
3dpf,13.79,1.15,97.69,0.57,0,7.47,0.57,0,2.87
5dpf,3.1,1.03,316.82,2.58,0,18.09,1.03,0.52,19.12
10dpf,15.06,7.53,224.03,2.51,1.26,7.53,0,1.88,3.14
