stage,central_nervous_system,hematopoietic_system,lateral_mesoderm,mesenchyme,neural_crest,periderm
24hpf,1,0,0,0,0,0
2dpf,15.01,0,0.83,5,0.83,1.67
3dpf,146.53,0,0,3.45,0,0.57
5dpf,5.69,0.52,0,2.58,0,0
10dpf,30.12,0.63,0,2.51,0,0
