stage,central_nervous_system,endoderm,intermediate_mesoderm,lateral_mesoderm,mesenchyme,notochord,paraxial_mesoderm
2dpf,0.83,0,0,0,0,0,0
3dpf,5.75,0,0,0.57,0,0,0
5dpf,6.72,0.52,0.52,0,0.52,0.52,1.55
10dpf,5.02,0,0,0,0,0,0
