stage,central_nervous_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,notochord,paraxial_mesoderm,periderm
2dpf,0.83,0,1.67,0.83,0,0,0
3dpf,29.88,0,0,2.87,0,0,0
5dpf,0.52,0.52,0.52,4.13,3.62,0.52,0.52
10dpf,17.57,0,0,2.51,0,0,0
