stage,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm
2dpf,0,4.17,0.83,0
3dpf,0,0,0,0.57
5dpf,1.03,3.1,0,0
10dpf,0.63,3.14,0,0
