stage,hematopoietic_system,lateral_mesoderm,mesenchyme,paraxial_mesoderm,periderm
2dpf,0,0.83,0.83,3.34,0
3dpf,0,0,2.3,3.45,0
5dpf,0,0,3.1,6.2,1.55
10dpf,1.26,0,1.26,1.88,3.14
