stage,central_nervous_system,endoderm,hematopoietic_system,lateral_mesoderm,mesenchyme,neural_crest,periderm
19hpf,0,0,0,0,4.38,0,2.19
24hpf,1,0,0,0,17,1,0
2dpf,4.17,0,0,0.83,3.34,0.83,5
3dpf,1.15,0,0,1.15,17.24,0,0
5dpf,0.52,0.52,1.03,0,3.1,0.52,2.58
10dpf,1.88,0.63,0.63,0,5.02,0,0
