stage,central_nervous_system,endoderm,hematopoietic_system,mesenchyme,paraxial_mesoderm
3dpf,1.15,0,0,0,0
5dpf,0.52,0,0,0.52,0
10dpf,3.77,0.63,0.63,1.26,0.63
