stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,mesenchyme,neural_crest
24hpf,2,0,0,0,0
2dpf,1.67,0.83,0,3.34,0
3dpf,68.96,0,0,2.3,0
5dpf,2.07,0.52,0.52,0.52,0.52
10dpf,17.57,0,0,1.26,0.63
