stage,central_nervous_system,endoderm,lateral_mesoderm,mesenchyme,notochord,paraxial_mesoderm,periderm
2dpf,0.83,0,0,4.17,0.83,0,0.83
3dpf,2.87,0,0.57,28.73,0,0.57,0
5dpf,1.55,0.52,0.52,4.65,1.03,0,0.52
10dpf,0,0,0,5.02,0,0,0
