stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,10.32,0,0,0,10.32,0,0,0,10.32,0
12hpf,19.28,1.93,3.86,3.86,9.64,0,0,1.93,5.78,5.78
14hpf,10.03,3.34,13.38,3.34,6.69,3.34,3.34,3.34,3.34,13.38
16hpf,18.46,0,10.25,4.1,2.05,4.1,2.05,2.05,8.2,4.1
19hpf,15.32,0,4.38,0,2.19,2.19,6.57,0,0,6.57
24hpf,27,2,73,9,5,8,38,0,14,8
2dpf,135.12,2.5,21.69,24.19,24.19,77.57,46.71,0.83,19.18,40.87
3dpf,794.16,7.47,31.03,16.66,14.37,161.48,5.75,0,8.62,40.8
5dpf,43.93,8.79,41.86,29.98,12.4,129.21,22.22,6.2,25.32,112.67
10dpf,257.92,13.18,47.69,14.43,3.14,107.31,8.16,0,16.32,17.57
