stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme,notochord,periderm
24hpf,0,0,1,0,0,0,1
2dpf,0.83,0,6.67,0,2.5,0,7.51
3dpf,1.15,1.72,6.9,0.57,3.45,0,15.52
5dpf,1.03,9.3,13.44,0.52,4.65,0.52,103.37
10dpf,1.88,13.18,8.79,6.28,0.63,0,29.49
