stage,central_nervous_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
2dpf,0.83,0,0,3.34,0,0,0,0
3dpf,3.45,0,0,1.15,0,0,0,0
5dpf,0.52,1.55,0.52,4.65,0.52,0.52,1.03,1.55
10dpf,2.51,0,0.63,1.88,0,0,0.63,0
