stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,mesenchyme,notochord,paraxial_mesoderm
24hpf,0,0,0,0,0,1
2dpf,0,0,5.84,1.67,1.67,0
3dpf,1.72,0.57,1.15,6.9,0,0
5dpf,0.52,22.22,0.52,1.03,0,0
10dpf,3.14,31.38,1.88,3.77,0,0
