stage,hematopoietic_system,lateral_mesoderm,mesenchyme,paraxial_mesoderm
2dpf,0,0.83,3.34,0
3dpf,1.15,0,1.72,0
5dpf,20.16,0,2.07,0.52
10dpf,23.22,0,1.26,0
