stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,30.97,0,0,0,0,0,0,0,0,0
12hpf,63.62,0,0,1.93,7.71,3.86,0,0,23.13,13.49
14hpf,33.44,0,6.69,0,10.03,3.34,0,0,10.03,6.69
16hpf,10.25,0,4.1,0,10.25,6.15,0,0,28.71,12.3
19hpf,13.14,2.19,2.19,0,4.38,0,0,0,4.38,2.19
24hpf,35,2,2,1,8,3,2,0,25,10
2dpf,82.57,8.34,3.34,11.68,23.35,60.89,10.01,0,25.86,18.35
3dpf,217.79,7.47,2.3,8.05,0.57,45.4,2.3,0,6.9,13.79
5dpf,38.76,5.69,22.22,21.19,4.13,98.2,6.72,5.17,31.53,93.03
10dpf,143.71,24.47,20.08,24.47,18.2,199.56,13.81,0,42.67,34.51
