stage,central_nervous_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm
2dpf,5,2.5,5.84,13.35,0,0,2.5
5dpf,0.52,0.52,0.52,6.72,2.58,1.03,0.52
10dpf,0.63,0,0,0,0,0,0
