stage,central_nervous_system,endoderm,hematopoietic_system,mesenchyme,neural_crest,notochord,periderm
3dpf,14.94,0,0,2.3,0,0,0
5dpf,1.03,0,1.03,2.07,1.03,0.52,0.52
10dpf,23.22,0.63,0,1.26,0,0,0
