stage,central_nervous_system,endoderm,intermediate_mesoderm,mesenchyme,periderm
2dpf,0.83,0,0,0,20.85
3dpf,0,1.15,0,0,5.17
5dpf,1.03,0,0.52,0,46
10dpf,0,0.63,0.63,0.63,15.06
