stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,notochord,paraxial_mesoderm,periderm
10hpf,41.29,0,0,0,0,0,10.32,41.29,0
12hpf,69.4,1.93,0,0,0,0,21.21,67.47,1.93
14hpf,33.44,0,0,0,0,0,3.34,100.32,0
16hpf,10.25,0,0,0,2.05,0,8.2,49.22,0
19hpf,15.32,0,0,0,0,0,0,6.57,0
24hpf,28,1,0,0,0,1,0,1,1
2dpf,57.55,0,0,4.17,3.34,13.35,0,0.83,2.5
3dpf,70.11,0.57,0,1.72,0.57,8.05,0,0.57,0
5dpf,41.86,0.52,0.52,0.52,0,7.24,0,0.52,1.55
10dpf,25.1,2.51,0,3.14,0.63,2.51,0,0,0
