stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,paraxial_mesoderm,periderm
10hpf,61.94,0,10.32,0,10.32,0,0,20.65
12hpf,75.18,0,1.93,0,13.49,1.93,7.71,34.7
14hpf,70.22,3.34,33.44,0,23.41,16.72,23.41,23.41
16hpf,0,8.2,0,2.05,2.05,2.05,2.05,0
19hpf,28.46,10.95,0,0,2.19,4.38,2.19,28.46
24hpf,3,0,0,0,1,0,0,1
2dpf,10.01,2.5,1.67,0.83,1.67,3.34,2.5,12.51
3dpf,13.22,0.57,0,0,0,0.57,0,0
5dpf,7.24,0,0,0,0,3.62,0.52,8.79
10dpf,1.88,0.63,0,0,0,0.63,0,0
