stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,10.32,0,0,0,0,0,0,0,0
12hpf,3.86,5.78,0,0,0,0,0,1.93,3.86
14hpf,30.09,0,0,0,0,0,0,3.34,0
16hpf,20.51,4.1,0,4.1,0,0,0,0,0
19hpf,26.27,0,0,0,0,0,0,0,0
24hpf,20,0,0,0,0,1,0,1,3
2dpf,314.45,1.67,2.5,6.67,17.52,55.88,4.17,14.18,15.85
3dpf,1002.76,1.15,3.45,3.45,6.32,35.05,0.57,1.72,6.32
5dpf,85.79,2.07,4.13,4.65,2.07,27.91,2.58,5.69,13.44
10dpf,276.11,2.51,0,3.14,1.88,13.18,1.88,3.14,2.51
