stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,20.65,0,0,0,0,0,0,0,0
12hpf,9.64,0,0,0,0,0,0,0,0
14hpf,150.47,0,0,76.91,3.34,0,0,23.41,3.34
16hpf,4.1,0,0,18.46,0,0,0,0,0
19hpf,81,0,0,17.51,2.19,0,0,0,2.19
24hpf,26,0,0,0,0,1,1,3,0
2dpf,112.6,0,0.83,11.68,10.84,10.84,5.84,5.84,6.67
3dpf,129.3,1.15,0,4.02,2.3,99.99,0.57,0.57,6.9
5dpf,25.32,1.03,2.58,5.69,0.52,9.3,0.52,2.07,12.4
10dpf,62.13,0.63,2.51,10.04,1.26,16.94,3.14,0.63,3.14
