stage,endoderm,lateral_mesoderm,mesenchyme,periderm
2dpf,0,0.83,0,20.85
3dpf,0.57,0,0,10.92
5dpf,0.52,0,0.52,27.91
10dpf,1.26,0,1.26,1.26
