stage,central_nervous_system,endoderm,intermediate_mesoderm,mesenchyme,neural_crest,notochord,periderm
2dpf,2.5,0,0,0,0,0,0
3dpf,4.6,0.57,0,0,0.57,0,0
5dpf,2.58,2.07,0.52,1.55,0.52,0.52,0.52
10dpf,2.51,1.26,0,0,1.26,0,0
