stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
3dpf,0,0,0,0,0.57,0,0
5dpf,0.52,2.07,3.62,1.55,0,0.52,1.03
10dpf,0,0,0.63,0,0,0,0
