stage,central_nervous_system,endoderm,hematopoietic_system,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
19hpf,0,0,0,0,0,0,6.57,0,0
24hpf,42,0,0,0,0,0,1,0,0
2dpf,17.52,0.83,1.67,3.34,80.07,3.34,125.95,4.17,2.5
3dpf,11.49,1.72,1.72,0.57,183.89,0,1.15,1.15,0.57
5dpf,2.07,0.52,1.03,0.52,399.51,0,90.45,1.55,4.65
10dpf,6.28,0.63,0.63,1.26,121.74,0,3.14,0.63,0
