stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme,neural_crest,periderm
2dpf,3.34,0,0,0,1.67,0.83,1.67
3dpf,5.17,0,0.57,0.57,0,0.57,2.87
5dpf,1.55,1.03,0,0.52,2.07,5.17,4.13
10dpf,8.16,0.63,0,0,0,0,1.88
