stage,central_nervous_system,endoderm,intermediate_mesoderm,neural_crest,paraxial_mesoderm
2dpf,15.01,0,0.83,0,0.83
3dpf,2.3,0.57,0,0,0
5dpf,5.69,0.52,1.55,0,0.52
10dpf,2.51,0,1.26,0.63,0
