stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,20.65,0,0,0,0,0,0,0,0
12hpf,5.78,0,0,0,0,0,0,0,0
14hpf,26.75,0,0,26.75,0,0,0,0,0
16hpf,14.36,0,0,47.17,0,0,0,0,0
19hpf,54.73,0,0,35.03,0,0,0,0,0
24hpf,26,0,0,1,0,1,0,1,1
2dpf,118.44,0,0.83,9.17,0.83,9.17,3.34,0.83,9.17
3dpf,293.07,4.02,0,7.47,0.57,6.9,0.57,1.15,6.9
5dpf,36.18,4.65,1.03,8.79,0,4.13,1.03,1.03,4.65
10dpf,110.45,21.34,1.26,11.92,0,1.88,0,0,1.88
