stage,hematopoietic_system,lateral_mesoderm,mesenchyme,paraxial_mesoderm,periderm
2dpf,0,0.83,0,2.5,0
3dpf,0.57,0,0,0.57,0
5dpf,0,0,0,3.1,0
10dpf,0,0,1.88,0.63,0.63
