stage,central_nervous_system,endoderm,hematopoietic_system,mesenchyme,neural_crest,notochord,periderm
2dpf,2.5,0,0,0,0,0,0
3dpf,4.02,0,0,0,0,0,0
5dpf,17.57,0.52,0.52,3.1,1.03,1.55,1.55
10dpf,15.06,0.63,0,1.88,0,0,0
