stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,neural_crest,periderm
24hpf,0,1,0,0,0,0
2dpf,0.83,0.83,3.34,0,0,0
3dpf,0.57,5.75,2.3,0,0,0
5dpf,0,6.2,2.58,1.03,0,1.03
10dpf,3.14,21.34,1.26,0,0.63,0
