stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest
3dpf,24.14,0,0,0,0,0
5dpf,1.03,0,0,1.03,0.52,0.52
10dpf,22.59,0.63,0.63,0,0,0
