stage,hematopoietic_system,intermediate_mesoderm,mesenchyme,neural_crest,periderm
2dpf,0,0.83,0,0.83,21.69
3dpf,0.57,0,0,0,1.72
5dpf,1.03,0.52,0.52,0,19.64
10dpf,3.77,0,0,0,1.88
