stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,0,0,0,30.97,0,0,0,0,0
12hpf,3.86,0,67.47,129.16,0,0,0,0,0
14hpf,13.38,10.03,63.53,90.28,6.69,0,0,0,0
16hpf,10.25,24.61,24.61,153.81,8.2,0,2.05,0,2.05
19hpf,10.95,0,17.51,85.38,8.76,0,0,0,0
24hpf,33,0,19,38,4,0,0,0,0
2dpf,17.52,0.83,20.85,65.89,91.75,6.67,0,5,2.5
3dpf,33.9,0,7.47,21.26,21.84,0.57,0,0,0.57
5dpf,4.13,0,18.09,35.14,31.01,1.03,0.52,0,4.13
10dpf,15.69,0.63,17.57,30.75,30.12,3.14,0,1.26,0
