stage,central_nervous_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme
24hpf,1,0,0,0
2dpf,0,0,0.83,2.5
3dpf,16.66,0,0,1.15
5dpf,0.52,1.55,1.03,0.52
10dpf,5.02,0,0,1.26
