stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,0,20.65
12hpf,0,0,0,0,0,0,0,0,1.93
14hpf,0,0,0,0,0,0,0,0,224.04
16hpf,2.05,0,0,0,0,0,0,2.05,26.66
19hpf,0,0,0,0,0,0,0,0,310.86
24hpf,0,0,0,1,0,0,0,0,38
2dpf,13.35,0,0.83,14.18,3.34,14.18,0,3.34,437.06
3dpf,20.11,9.19,0.57,3.45,4.6,35.63,0,0.57,168.95
5dpf,18.09,1.03,2.58,9.82,2.58,22.22,1.03,6.72,670.33
10dpf,9.41,0.63,4.39,4.39,1.88,19.45,1.26,1.26,136.8
