stage,central_nervous_system,endoderm,lateral_mesoderm,paraxial_mesoderm,periderm
2dpf,0.83,0,0.83,0.83,4.17
3dpf,0,0.57,0,0,0.57
5dpf,0,0,0,0,5.17
10dpf,0,0.63,0,0,0
