stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,20.65,0,0,0,0,0,0,0,0
12hpf,55.9,0,0,0,0,0,0,5.78,0
14hpf,50.16,0,3.34,0,0,0,0,0,0
16hpf,100.49,0,20.51,0,0,0,0,4.1,0
19hpf,81,0,17.51,0,0,0,0,0,2.19
24hpf,42,0,0,0,0,1,0,4,0
2dpf,120.94,0,13.35,1.67,6.67,1.67,0,5.84,0
3dpf,76.43,0.57,4.02,1.15,10.92,0,0,3.45,0.57
5dpf,59.44,1.03,8.27,0.52,6.72,0,4.13,1.03,0
10dpf,43.3,0,3.14,0,3.77,0,0.63,1.26,0
