stage,central_nervous_system,endoderm,hematopoietic_system,lateral_mesoderm,mesenchyme,periderm
2dpf,0,0,0,0.83,0,94.25
3dpf,1.15,0.57,0,0.57,0,16.66
5dpf,1.03,0,0,0,0.52,87.86
10dpf,0.63,0.63,0.63,0,1.26,25.1
