stage,central_nervous_system,endoderm,hematopoietic_system,mesenchyme,periderm
2dpf,0.83,0,0,0.83,13.35
3dpf,0,0,0,0.57,1.72
5dpf,0,0.52,0.52,0,8.27
10dpf,0,0,4.39,0,2.51
