stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,30.97,0,0,0,0,0,0,1032.29,0
12hpf,0,0,0,0,0,0,0,817.37,1.93
14hpf,6.69,0,0,23.41,0,0,0,1374.33,0
16hpf,6.15,0,0,14.36,0,0,0,1031.56,14.36
19hpf,2.19,0,0,0,0,0,0,284.59,0
24hpf,5,2,0,4,1,0,0,821,2
2dpf,23.35,2.5,2.5,10.01,15.01,1.67,0.83,76.73,5
3dpf,2.3,0.57,0,0,0,0,0,11.49,0.57
5dpf,0,0,0,0,1.03,0,0,12.4,1.03
10dpf,3.14,1.26,0,0,0.63,0,0,23.85,0.63
