stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,10.32,0,0,0,0,0,0,0,0
12hpf,1.93,11.57,0,0,5.78,0,0,17.35,0
14hpf,10.03,0,0,6.69,10.03,0,0,6.69,3.34
16hpf,14.36,2.05,82.03,14.36,43.07,0,0,12.3,2.05
19hpf,8.76,0,17.51,10.95,52.54,0,0,10.95,0
24hpf,8,1,64,0,43,0,0,22,1
2dpf,85.08,0,5,5.84,23.35,24.19,2.5,3.34,7.51
3dpf,192.51,0.57,16.09,2.3,3.45,26.43,1.15,0,5.75
5dpf,40.83,3.1,10.34,5.17,3.1,43.41,1.55,1.03,13.95
10dpf,77.19,0.63,60.24,5.02,3.14,20.71,2.51,1.88,3.77
