stage,hematopoietic_system,mesenchyme,paraxial_mesoderm,periderm
2dpf,0,0,0,4.17
3dpf,0.57,0.57,0,2.87
5dpf,0,0.52,0,6.72
10dpf,0,1.26,0.63,4.39
