stage,central_nervous_system,endoderm,hematopoietic_system,mesenchyme,paraxial_mesoderm
24hpf,0,0,1,0,0
3dpf,0,0,0.57,0,0
5dpf,0.52,0,6.72,0.52,0.52
10dpf,4.39,0.63,7.53,0.63,0
