stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,notochord,paraxial_mesoderm,periderm
10hpf,10.32,0,0,0,0,0,0,0,0
12hpf,13.49,0,0,0,1.93,0,0,0,0
14hpf,3.34,0,0,0,3.34,0,0,3.34,0
16hpf,36.91,0,22.56,8.2,4.1,0,2.05,0,2.05
19hpf,39.41,0,0,28.46,6.57,0,0,0,4.38
24hpf,51,1,0,1,1,0,0,5,1
2dpf,182.66,0,2.5,5.84,0.83,10.01,0,2.5,2.5
3dpf,65.51,0,1.72,2.87,1.15,7.47,0,0.57,1.72
5dpf,63.57,0,0.52,5.69,0,8.27,0,0,5.69
10dpf,24.47,0,3.14,4.39,0,1.26,0,0,0.63
