stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,6441.52,113.55,30.97,0,1125.2,82.58,0,206.46,2560.09,2353.63
12hpf,5850.72,192.78,36.63,179.28,1501.72,260.25,15.42,356.63,2656.44,1864.13
14hpf,5724.69,90.28,257.48,351.11,1177.04,531.67,96.97,143.79,2200.26,2340.7
16hpf,4811.22,225.59,381.45,334.28,1560.67,611.14,157.91,219.44,2167.71,2444.57
19hpf,7493.58,61.3,172.95,236.43,945.73,389.67,218.92,91.95,777.16,2517.56
24hpf,5483,107,1173,351,1478,640,278,41,2008,1259
2dpf,3701.63,101.76,341.14,478.76,1690.67,2754.12,418.71,98.42,1015.07,1512.18
3dpf,7034.81,198.25,183.31,222.96,223.54,2918.05,108.03,0.57,299.96,627.51
5dpf,1194.91,193.29,620.19,669.81,314.75,3598.68,262.03,249.11,790.75,2834.29
10dpf,3465.24,321.3,579.21,562.27,221.52,3521.71,168.81,8.16,607.45,685.27
