stage,central_nervous_system,endoderm,hematopoietic_system,lateral_mesoderm,mesenchyme,paraxial_mesoderm,periderm
24hpf,0,0,0,1,0,0,0
2dpf,51.71,0,0,1.67,28.36,1.67,0.83
3dpf,27.01,0,0,0,14.94,0.57,0
5dpf,7.24,0,1.55,1.03,22.22,0,1.03
10dpf,10.04,1.26,1.26,0,18.83,0,1.26
