stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,10.32,0,0,0,0,0,0,0,0
12hpf,19.28,0,0,0,0,0,0,0,0
14hpf,16.72,0,6.69,0,0,0,0,3.34,0
16hpf,45.12,0,36.91,0,0,0,0,0,0
19hpf,19.7,0,13.14,0,0,0,0,0,0
24hpf,27,0,1,0,0,0,0,1,0
2dpf,74.23,0.83,11.68,2.5,13.35,1.67,0,5.84,2.5
3dpf,49.42,0,3.45,0,10.34,0,0,1.15,1.15
5dpf,50.13,0,5.69,0.52,14.99,1.03,0.52,2.58,2.07
10dpf,23.22,0,3.77,0,5.65,0,0,0,0.63
