stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,notochord,paraxial_mesoderm,periderm
10hpf,30.97,0,0,0,0,0,20.65,0,41.29
12hpf,90.6,0,0,0,3.86,0,19.28,7.71,26.99
14hpf,66.88,0,0,6.69,0,0,0,0,6.69
16hpf,145.61,0,0,49.22,0,2.05,0,4.1,6.15
19hpf,135.73,0,0,45.97,4.38,2.19,2.19,0,10.95
24hpf,98,0,0,1,0,0,1,4,3
2dpf,157.64,0,0.83,15.85,3.34,5.84,1.67,0.83,10.84
3dpf,32.18,0,0,6.32,0,4.6,0,0.57,1.15
5dpf,67.7,1.03,1.03,9.3,0,0.52,1.55,0,2.07
10dpf,15.06,0.63,0,4.39,0,1.88,0,0.63,0
