stage,central_nervous_system,endoderm,intermediate_mesoderm,lateral_mesoderm,mesenchyme,notochord,paraxial_mesoderm,periderm
10hpf,0,20.65,0,123.88,0,0,0,330.33
12hpf,17.35,9.64,30.84,163.86,13.49,1.93,9.64,526.28
14hpf,3.34,3.34,46.81,107,33.44,0,13.38,354.45
16hpf,14.36,2.05,2.05,139.46,28.71,0,8.2,365.05
19hpf,2.19,2.19,0,81,10.95,0,2.19,210.16
24hpf,5,1,0,49,15,0,2,71
2dpf,2.5,0,0,1.67,4.17,0,3.34,20.02
3dpf,2.87,0.57,0,1.15,4.6,0,0.57,8.62
5dpf,1.55,0,0,0.52,5.69,0,0,27.39
10dpf,1.26,0,0,1.26,1.88,0,0,5.02
