stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,notochord,paraxial_mesoderm,periderm
10hpf,732.93,20.65,0,0,10.32,0,0,92.91,20.65
12hpf,784.59,3.86,0,0,90.6,1.93,7.71,142.65,57.83
14hpf,300.95,3.34,3.34,0,3.34,3.34,3.34,13.38,10.03
16hpf,186.62,0,0,0,24.61,2.05,2.05,8.2,22.56
19hpf,188.27,0,0,0,2.19,0,0,4.38,4.38
24hpf,54,0,0,1,1,1,0,9,1
2dpf,12.51,0,0,0,0.83,0.83,0,0.83,0
3dpf,7.47,0,0,0,0,2.87,0,0,0
5dpf,1.55,0,0,0,0,1.03,0,0,0
10dpf,1.88,0,0,0,0,0.63,0,0,1.26
