stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,mesenchyme,notochord,paraxial_mesoderm,periderm
19hpf,4.38,0,0,0,0,0,0
2dpf,11.68,1.67,0.83,0,0,0.83,9.17
3dpf,7.47,0,0,0.57,0,0,0
5dpf,2.07,0,0.52,0.52,0.52,0,1.55
10dpf,0.63,0,0,0,0,0,0
