stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,0,0,0,41.29,0,0,0,0
12hpf,0,0,0,1.93,28.92,9.64,0,0,0
14hpf,3.34,0,0,3.34,43.47,90.28,0,0,0
16hpf,2.05,0,0,0,69.73,71.78,2.05,4.1,6.15
19hpf,0,0,0,0,78.81,17.51,8.76,0,0
24hpf,0,0,0,0,51,13,2,0,0
2dpf,6.67,0,0.83,0,92.58,207.68,11.68,0,3.34
3dpf,6.9,0,0.57,0.57,14.94,97.69,0,0,0.57
5dpf,1.03,0.52,0,0,10.85,69.77,3.1,0.52,0.52
10dpf,3.77,0,0.63,1.88,6.28,48.95,6.28,1.88,0
