stage,endoderm,intermediate_mesoderm,lateral_mesoderm,mesenchyme,periderm
3dpf,0,0,0.57,0.57,0.57
5dpf,0,0.52,0,0,7.24
10dpf,0.63,0,0,0.63,5.65
