stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,notochord,paraxial_mesoderm
2dpf,0.83,0,0,0.83,0.83,0.83,0.83,0
3dpf,2.3,0,0,0,0,12.64,0,0
5dpf,1.03,1.03,1.03,0,0,20.67,0,1.03
10dpf,4.39,0,0.63,0,0,5.02,0,0.63
