stage,central_nervous_system,endoderm,hematopoietic_system,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm
24hpf,0,0,1,0,0,0,0
2dpf,0,0,0,0.83,0,0,0
3dpf,2.3,0,0,0,0,0.57,0
5dpf,0.52,0.52,5.17,0.52,0.52,0,0.52
10dpf,1.88,0,23.85,0,0.63,0.63,0
