stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,2157.49,51.61,30.97,0,412.92,41.29,0,51.61,712.28,732.93
12hpf,2001,57.83,34.7,36.63,414.47,48.19,0,77.11,616.88,547.48
14hpf,1350.92,13.38,76.91,70.22,300.95,107,20.06,36.78,414.64,411.3
16hpf,1035.66,34.86,30.76,43.07,270.71,112.79,34.86,22.56,332.23,330.18
19hpf,1661.59,4.38,4.38,28.46,137.92,50.35,17.51,2.19,98.51,216.73
24hpf,1089,17,42,39,211,71,21,2,98,135
2dpf,935.83,20.85,61.72,134.29,572.18,777.36,93.42,13.35,246.89,346.14
3dpf,2192.85,27.01,24.71,44.82,51.14,633.83,25.28,0,54.02,107.46
5dpf,271.85,34.11,113.19,149.88,74.94,722.53,43.93,38.76,139.54,509.59
10dpf,823.32,50.2,105.43,108.56,45.81,669.58,37.65,1.88,101.03,141.19
