stage,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
2dpf,0.83,0,0,0.83,4.17
3dpf,0,0,0.57,0,0
10dpf,0.63,2.51,0,0,0.63
