stage,central_nervous_system,hematopoietic_system,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
24hpf,33,0,0,0,0,0,10
2dpf,23.35,0,3.34,5.84,1.67,0.83,1.67
3dpf,4.02,0,0,0.57,0,0,0.57
5dpf,5.69,0,0,1.55,0,0,0.52
10dpf,1.26,5.02,0,0,0,0,0
