stage,central_nervous_system,endoderm,hematopoietic_system,mesenchyme
2dpf,0,0,6.67,0.83
3dpf,0,0,1.72,0
5dpf,0,0.52,11.37,0.52
10dpf,0.63,0,12.55,0
