stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,notochord,periderm
3dpf,6.32,0,0.57,0,0,4.02,0,0.57
5dpf,0.52,0,0,0.52,0,2.07,0.52,2.07
10dpf,6.9,0.63,0.63,0,1.26,3.14,0,0.63
