stage,central_nervous_system,hematopoietic_system,lateral_mesoderm,mesenchyme,neural_crest,periderm
3dpf,1.72,0,0,0.57,0.57,0
5dpf,0.52,0,0.52,2.07,0.52,1.03
10dpf,0.63,1.88,0,3.14,0,0
